,index,date,pv,npv,bs,wet,water,veg_areas,overall_veg_num,norm_bs,norm_pv,norm_npv,off_value
0,0,2018-01-16 00:09:16.940377,0.6685000000000001,0.2735,0.0375,0.0,0.0,1.0,0.9795000000000001,0.038284839203675335,0.6824910668708525,0.27922409392547215,0
1,1,2018-02-01 00:09:07.083433,0.6965,0.248,0.034999999999999996,0.0,0.0,1.0,0.9795,0.035732516590096984,0.71107708014293,0.25319040326697295,0
2,2,2018-02-17 00:09:01.976812,0.6824999999999999,0.2485,0.02425,0.025,0.0,0.975,0.9552499999999998,0.02475137398586758,0.6966108348599843,0.25363779115414814,0
3,3,2018-03-05 00:08:54.336459,0.64725,0.28950000000000004,0.04475,0.0,0.0,1.0,0.9814999999999999,0.04559347936831381,0.6594498217014774,0.2949566989302089,0
4,4,2018-03-21 00:08:45.937021,0.38725,0.13774999999999998,0.013250000000000001,0.45,0.0,0.55,0.5382499999999999,0.01353924756154204,0.39570366929865314,0.14075708313980495,0
5,5,2018-04-06 00:08:38.542500,0.19450000000000003,0.0675,0.0072499999999999995,0.725,0.0,0.275,0.26925,0.007404828226555246,0.19865366759517183,0.068941504178273,0
6,6,2018-04-22 00:08:29.012551,0.12150000000000001,0.04325,0.00625,0.825,0.0,0.17500000000000004,0.171,0.006396198830409358,0.12434210526315792,0.04426169590643275,0
7,7,2018-05-08 00:08:20.037118,0.07275,0.021,0.0042499999999999994,0.9,0.0,0.09999999999999998,0.098,0.004336734693877549,0.074234693877551,0.021428571428571425,0
8,8,2018-05-24 00:08:08.223348,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
9,9,2018-06-25 00:08:14.128035,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
10,11,2018-07-27 00:08:28.778186,0.07275000000000001,0.022000000000000002,0.0035000000000000005,0.9,0.0,0.09999999999999998,0.09825000000000002,0.003562340966921119,0.07404580152671754,0.022391857506361315,0
11,12,2018-08-12 00:08:38.464212,0.07125,0.02325,0.0032500000000000003,0.9,0.0,0.09999999999999998,0.09775,0.003324808184143222,0.07289002557544755,0.0237851662404092,0
12,13,2018-08-28 00:08:45.987519,0.6377499999999999,0.23975,0.028250000000000004,0.075,0.0,0.925,0.9057499999999999,0.02885040022081149,0.6513041678167265,0.24484543196246206,0
13,14,2018-09-13 00:08:51.104027,0.626,0.2665,0.060250000000000005,0.025,0.0,0.975,0.9527500000000001,0.061657045394909474,0.6406192600367357,0.2727236945683547,0
14,15,2018-09-29 00:08:57.436022,0.542,0.25025000000000003,0.06475,0.125,0.0,0.875,0.8570000000000001,0.06610997666277713,0.5533838973162194,0.2555061260210035,0
15,16,2018-10-15 00:09:04.557315,0.49924999999999997,0.276,0.10874999999999999,0.1,0.0,0.9,0.884,0.11071832579185518,0.5082861990950226,0.2809954751131222,0
16,17,2018-10-31 00:09:08.912292,0.4625,0.266,0.08049999999999999,0.175,0.0,0.825,0.809,0.08209208899876388,0.4716470951792336,0.27126081582200245,0
17,18,2018-11-16 00:09:10.449271,0.472,0.28200000000000003,0.08025,0.15,0.0,0.85,0.83425,0.0817650584357207,0.4809109979023074,0.28732394366197184,0
18,19,2018-12-02 00:09:09.020636,0.49800000000000005,0.26325000000000004,0.04975,0.175,0.0,0.825,0.811,0.05060881627620222,0.506596794081381,0.26779438964241675,0
19,20,2018-12-18 00:09:06.585180,0.42650000000000005,0.27999999999999997,0.07950000000000002,0.2,0.0,0.8,0.786,0.08091603053435116,0.43409669211195934,0.28498727735368956,0
20,21,2019-01-03 00:09:06.455172,0.533,0.3745,0.075,0.0,0.0,1.0,0.9824999999999999,0.07633587786259542,0.5424936386768449,0.3811704834605598,0
21,22,2019-01-19 00:09:03.514993,0.59375,0.3255,0.061250000000000006,0.0,0.0,1.0,0.9805,0.062468128505864355,0.6055583885772565,0.3319734829168791,0
22,23,2019-02-04 00:09:00.165996,0.64875,0.30475,0.026750000000000003,0.0,0.0,1.0,0.9802500000000001,0.02728895689875032,0.6618209640397857,0.31089007906146393,0
23,24,2019-02-20 00:08:57.733780,0.64275,0.263,0.025,0.05,0.0,0.95,0.9307500000000001,0.025517056137523503,0.6560435132957292,0.26843943056674724,0
24,27,2019-04-09 00:08:44.355504,0.3215,0.13225000000000003,0.011,0.525,0.0,0.475,0.46475000000000005,0.011242603550295856,0.3285906401291016,0.1351667563206025,0
25,28,2019-04-25 00:08:37.449457,0.10200000000000001,0.03925,0.0055,0.85,0.0,0.15000000000000002,0.14675000000000002,0.005621805792163544,0.10425894378194209,0.040119250425894384,0
26,29,2019-05-11 00:08:45.859080,0.036250000000000004,0.0095,0.00275,0.95,0.0,0.050000000000000044,0.04850000000000001,0.002835051546391754,0.03737113402061859,0.009793814432989698,0
27,30,2019-05-27 00:08:55.388517,0.019,0.005,0.0005,0.975,0.0,0.025000000000000022,0.0245,0.0005102040816326534,0.019387755102040834,0.005102040816326535,0
28,31,2019-06-28 00:09:07.688160,0.01875,0.0052499999999999995,0.0005,0.975,0.0,0.025000000000000022,0.0245,0.0005102040816326534,0.019132653061224504,0.005357142857142861,0
29,32,2019-07-30 00:09:16.532762,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
